Time, Altitude, Velocity, Temperature (F), Voltage
30.90, 3812, -67, 86.74, 8.80
30.95, 3809, -67, 86.74, 8.80
31.00, 3805, -66, 86.76, 8.80
31.05, 3803, -66, 86.74, 8.80
31.10, 3803, -65, 86.72, 8.80
31.15, 3797, -65, 86.72, 8.80
31.20, 3794, -65, 86.76, 8.80
31.25, 3788, -64, 86.76, 8.80
31.30, 3784, -64, 86.74, 8.80
31.35, 3782, -64, 86.74, 8.80
31.40, 3782, -64, 86.74, 8.80
31.45, 3787, -63, 86.72, 8.80
31.50, 3792, -62, 86.72, 8.80
31.55, 3806, -61, 86.74, 8.80
31.60, 3803, -59, 86.76, 8.80
31.65, 3784, -58, 86.74, 8.80
31.70, 3766, -56, 86.72, 8.80
31.75, 3763, -55, 86.72, 8.80
31.80, 3751, -53, 86.72, 8.80
31.85, 3749, -53, 86.72, 8.80
31.90, 3748, -54, 86.72, 8.80
31.95, 3745, -56, 86.72, 8.80
32.00, 3744, -59, 86.72, 8.80
32.05, 3742, -61, 86.72, 8.80
32.10, 3737, -62, 86.70, 8.80
32.15, 3734, -61, 86.72, 8.80
32.20, 3732, -59, 86.72, 8.80
32.25, 3727, -58, 86.72, 8.80
32.30, 3723, -58, 86.70, 8.80
32.35, 3720, -59, 86.68, 8.80
32.40, 3718, -62, 86.70, 8.80
32.45, 3716, -66, 86.70, 8.80
32.50, 3717, -70, 86.70, 8.80
32.55, 3718, -72, 86.70, 8.80
32.60, 3716, -73, 86.68, 8.80
32.65, 3715, -71, 86.68, 8.80
32.70, 3712, -68, 86.70, 8.80
32.75, 3719, -65, 86.68, 8.80
32.80, 3717, -63, 86.70, 8.80
32.85, 3710, -62, 86.70, 8.80
32.90, 3707, -62, 86.70, 8.80
32.95, 3686, -63, 86.70, 8.80
33.00, 3678, -64, 86.68, 8.80
33.05, 3671, -65, 86.70, 8.80
